time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-08-17 01:00:00,30.766,30.794,32.191
2015-08-17 02:00:00,30.777,30.799,32.185
2015-08-17 03:00:00,30.781,30.802,32.145
2015-08-17 04:00:00,30.787,30.807,32.075
2015-08-17 05:00:00,30.789,30.812,32.023
2015-08-17 06:00:00,30.79,30.815,32.046
2015-08-17 07:00:00,30.792,30.821,32.118
2015-08-17 08:00:00,30.794,30.826,32.147
2015-08-17 09:00:00,30.799,30.83,32.073
2015-08-17 10:00:00,30.802,30.838,32.033
2015-08-17 11:00:00,30.807,30.848,32.021
2015-08-17 12:00:00,30.812,30.857,32.008
2015-08-17 13:00:00,30.815,30.861,32.017
2015-08-17 14:00:00,30.821,30.865,32.092
2015-08-17 15:00:00,30.826,30.873,32.085
2015-08-17 16:00:00,30.83,30.876,32.015
2015-08-17 17:00:00,30.838,30.879,32.048
2015-08-17 18:00:00,30.848,30.884,32.071
2015-08-17 19:00:00,30.857,30.888,32.084
2015-08-17 20:00:00,30.861,30.893,32.076
2015-08-17 21:00:00,30.865,30.895,32.036
2015-08-17 22:00:00,30.873,30.89,32.071
2015-08-17 23:00:00,30.876,30.882,32.114
2015-08-18 00:00:00,30.879,30.883,32.083
2015-08-18 01:00:00,30.884,30.882,32.045
2015-08-18 02:00:00,30.888,30.884,32.04
2015-08-18 03:00:00,30.893,30.888,32.072
2015-08-18 04:00:00,30.895,30.89,32.105
2015-08-18 05:00:00,30.89,30.896,32.056
2015-08-18 06:00:00,30.882,30.901,32.038
2015-08-18 07:00:00,30.883,30.903,32.012
2015-08-18 08:00:00,30.882,30.905,32.028
2015-08-18 09:00:00,30.884,30.906,31.989
2015-08-18 10:00:00,30.888,30.906,32.125
2015-08-18 11:00:00,30.89,30.906,32.013
2015-08-18 12:00:00,30.896,30.906,32.056
2015-08-18 13:00:00,30.901,30.9,32.045
2015-08-18 14:00:00,30.903,30.896,32.021
2015-08-18 15:00:00,30.905,30.895,32.036
2015-08-18 16:00:00,30.906,30.897,32.049
2015-08-18 17:00:00,30.906,30.898,32.048
2015-08-18 18:00:00,30.906,30.913,32.068
2015-08-18 19:00:00,30.906,30.917,32.039
2015-08-18 20:00:00,30.9,30.919,32.037
2015-08-18 21:00:00,30.896,30.921,32.035
2015-08-18 22:00:00,30.895,30.923,32.005
2015-08-18 23:00:00,30.897,30.926,32.049
2015-08-19 00:00:00,30.898,30.929,32.05
2015-08-19 01:00:00,30.913,30.93,32.031
2015-08-19 02:00:00,30.917,30.93,32.027
2015-08-19 03:00:00,30.919,30.928,32.007
2015-08-19 04:00:00,30.921,30.928,31.99
2015-08-19 05:00:00,30.923,30.927,32.001
2015-08-19 06:00:00,30.926,30.926,31.985
2015-08-19 07:00:00,30.929,30.928,31.961
2015-08-19 08:00:00,30.93,30.935,31.966
2015-08-19 09:00:00,30.93,30.942,31.942
2015-08-19 10:00:00,30.928,30.947,31.957
2015-08-19 11:00:00,30.928,30.952,31.93
2015-08-19 12:00:00,30.927,30.956,31.931
2015-08-19 13:00:00,30.926,30.967,31.933
2015-08-19 14:00:00,30.928,30.984,32.003
2015-08-19 15:00:00,30.935,31.029,32.057
2015-08-19 16:00:00,30.942,31.042,31.931
2015-08-19 17:00:00,30.947,30.999,31.991
2015-08-19 18:00:00,30.952,30.957,31.992
2015-08-19 19:00:00,30.956,30.926,32.008
2015-08-19 20:00:00,30.967,30.915,31.978
2015-08-19 21:00:00,30.984,30.899,31.888
2015-08-19 22:00:00,31.029,30.889,31.986
2015-08-19 23:00:00,31.042,30.875,31.912
2015-08-20 00:00:00,30.999,30.875,31.925
2015-08-20 01:00:00,30.957,30.88,31.888
2015-08-20 02:00:00,30.926,30.888,31.898
2015-08-20 03:00:00,30.915,30.908,31.853
2015-08-20 04:00:00,30.899,30.916,31.931
2015-08-20 05:00:00,30.889,30.902,31.997
2015-08-20 06:00:00,30.875,30.896,31.877
2015-08-20 07:00:00,30.875,30.886,31.971
2015-08-20 08:00:00,30.88,30.945,31.903
2015-08-20 09:00:00,30.888,31.004,31.953
2015-08-20 10:00:00,30.908,31.047,31.853
2015-08-20 11:00:00,30.916,31.042,31.84
2015-08-20 12:00:00,30.902,31.052,31.823
2015-08-20 13:00:00,30.896,31.064,31.82
2015-08-20 14:00:00,30.886,31.027,31.833
2015-08-20 15:00:00,30.945,30.925,31.765
2015-08-20 16:00:00,31.004,30.883,31.848
2015-08-20 17:00:00,31.047,30.915,31.912
2015-08-20 18:00:00,31.042,30.92,31.82
2015-08-20 19:00:00,31.052,30.89,31.817
2015-08-20 20:00:00,31.064,30.879,31.809
2015-08-20 21:00:00,31.027,30.88,31.849
2015-08-20 22:00:00,30.925,30.89,31.714
2015-08-20 23:00:00,30.883,30.909,31.713
2015-08-21 00:00:00,30.915,30.935,31.691
2015-08-21 01:00:00,30.92,30.958,31.655
2015-08-21 02:00:00,30.89,30.971,31.66
2015-08-21 03:00:00,30.879,30.971,31.73
2015-08-21 04:00:00,30.88,30.969,31.782
2015-08-21 05:00:00,30.89,30.967,31.794
2015-08-21 06:00:00,30.909,30.964,31.742
2015-08-21 07:00:00,30.935,30.964,31.797
2015-08-21 08:00:00,30.958,30.968,31.761
2015-08-21 09:00:00,30.971,30.972,31.681
2015-08-21 10:00:00,30.971,30.973,31.615
2015-08-21 11:00:00,30.969,30.97,31.52
2015-08-21 12:00:00,30.967,30.967,31.587
2015-08-21 13:00:00,30.964,30.964,31.622
2015-08-21 14:00:00,30.964,30.96,31.611
2015-08-21 15:00:00,30.968,30.954,31.54
2015-08-21 16:00:00,30.972,30.955,31.455
2015-08-21 17:00:00,30.973,30.957,31.606
2015-08-21 18:00:00,30.97,30.96,31.601
2015-08-21 19:00:00,30.967,30.962,31.474
2015-08-21 20:00:00,30.964,30.968,31.521
2015-08-21 21:00:00,30.96,30.971,31.485
2015-08-21 22:00:00,30.954,30.976,31.536
2015-08-21 23:00:00,30.955,30.973,31.519
2015-08-22 00:00:00,30.957,30.968,31.571
2015-08-22 01:00:00,30.96,30.966,31.559
2015-08-22 02:00:00,30.962,30.965,31.513
2015-08-22 03:00:00,30.968,30.964,31.511
2015-08-22 04:00:00,30.971,30.965,31.528
2015-08-22 05:00:00,30.976,30.968,31.503
2015-08-22 06:00:00,30.973,30.97,31.507
2015-08-22 07:00:00,30.968,30.973,31.495
2015-08-22 08:00:00,30.966,30.975,31.58
2015-08-22 09:00:00,30.965,30.978,31.689
